category,sub_category,title,description,price,image_url
Điện thoại,Oppo,OPPO Find N3 5G,"Chip Snapdragon 8 Gen 2 8 nhân | RAM: 16 GB | Dung lượng: 512 GB | Camera sau: Chính 48 MP & Phụ 48 MP, 64 MP | Camera trước: Trong: 20 MP & Ngoài: 32 MP | Pin 4805 mAh,  Sạc 67 W",41.990.000,https://cdn.tgdd.vn/Products/Images/42/302953/oppo-find-n3-vang-dong-thumb-600x600.jpg
Điện thoại,Oppo,OPPO Find N3 Flip 5G,"Chip MediaTek Dimensity 9200 5G 8 nhân | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 48 MP, 32 MP | Camera trước: 32 MP | Pin 4300 mAh,  Sạc 44 W",22.990.000,https://cdn.tgdd.vn/Products/Images/42/317981/oppo-find-n3-flip-pink-thumb-600x600.jpeg
Điện thoại,Oppo,OPPO Find N2 Flip 5G,"Chip MediaTek Dimensity 9000+ 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 8 MP | Camera trước: 32 MP | Pin 4300 mAh,  Sạc 44 W",18.990.000,https://cdn.tgdd.vn/Products/Images/42/299034/oppo-n2-flip-den-thumb-600x600.jpg
Điện thoại,Oppo,OPPO Reno8 T 5G 128GB,"Chip Snapdragon 695 5G | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 108 MP & Phụ 2 MP, 2 MP | Camera trước: 32 MP | Pin 4800 mAh,  Sạc 67 W",8.990.000,https://cdn.tgdd.vn/Products/Images/42/301641/oppo-reno8t-den1-thumb-600x600.jpg
Điện thoại,Oppo,OPPO A98 5G,"Chip Snapdragon 695 5G | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 64 MP & Phụ 2 MP, 2 MP | Camera trước: 32 MP | Pin 5000 mAh,  Sạc 67 W",7.990.000,https://cdn.tgdd.vn/Products/Images/42/307891/oppo-a98-5g-xanh-thumb-1-2-600x600.jpg
Điện thoại,Oppo,OPPO A79 5G,"Chip MediaTek Dimensity 6020 5G 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 33 W",7.990.000,https://cdn.tgdd.vn/Products/Images/42/316776/oppo-a79-5g-tim-thumb-1-2-600x600.jpg
Điện thoại,Oppo,OPPO A78,"Chip Snapdragon 680 | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 67 W",6.990.000,https://cdn.tgdd.vn/Products/Images/42/309847/oppo-a78-xanh-thumb-1-600x600.jpg
Điện thoại,Oppo,OPPO A60,"Chip Snapdragon 680 | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 45 W",5.490.000,https://cdn.tgdd.vn/Products/Images/42/323543/oppo-a60-blue-thumb-600x600.jpg
Điện thoại,Oppo,OPPO A17K,"Chip MediaTek Helio G35 | RAM: 3 GB | Dung lượng: 64 GB | Camera sau: 8 MP | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 10 W",2.790.000,https://cdn.tgdd.vn/Products/Images/42/288404/oppo-a17k-vang-thumb-ă-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi Note 13,"Chip Snapdragon 685 8 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 108 MP & Phụ 8 MP, 2 MP | Camera trước: 16 MP | Pin 5000 mAh,  Sạc 33 W",4.990.000,https://cdn.tgdd.vn/Products/Images/42/309831/xiaomi-redmi-note-13-gold-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi Note 13 Pro,"Chip MediaTek Helio G99-Ultra 8 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 200 MP & Phụ 8 MP, 2 MP | Camera trước: 16 MP | Pin 5000 mAh,  Sạc 67 W",6.290.000,https://cdn.tgdd.vn/Products/Images/42/314206/xiaomi-redmi-note-13-green-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi 13C,"Chip MediaTek Helio G85 | RAM: 4 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 18 W",2.890.000,https://cdn.tgdd.vn/Products/Images/42/316771/xiaomi-redmi-13c-xanh-la-1-2-3-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi 12,"Chip MediaTek Helio G88 | RAM: 4 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 18 W",3.040.000,https://cdn.tgdd.vn/Products/Images/42/307556/xiaomi-redmi-12-bac-thumb-(1)-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi A3,"Chip MediaTek Helio G36 8 nhân | RAM: 3 GB | Dung lượng: 64 GB | Camera sau: Chính 8 MP & Phụ 0.08 MP | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 10 W",2.490.000,https://cdn.tgdd.vn/Products/Images/42/320734/xiaomi-redmi-a3-xanh-lá-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi Note 13 Pro 5G,"Chip Snapdragon 7s Gen 2 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 200 MP & Phụ 8 MP, 2 MP | Camera trước: 16 MP | Pin 5100 mAh,  Sạc 67 W",8.990.000,https://cdn.tgdd.vn/Products/Images/42/319670/xiaomi-redmi-note-13-pro-5g-violet-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi 14 5G,"Chip Snapdragon 8 Gen 3 8 nhân | RAM: 12 GB | Dung lượng: 512 GB | Camera sau: Chính 50 MP & Phụ 50 MP, 50 MP | Camera trước: 32 MP | Pin 4610 mAh,  Sạc 90 W",21.490.000,https://cdn.tgdd.vn/Products/Images/42/298538/xiaomi-14-green-thumbnew-600x600.jpg
Điện thoại,Xiaomi,Xiaomi 13T Pro 5G,"Chip MediaTek Dimensity 9200+ 5G 8 nhân | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 50 MP, 12 MP | Camera trước: 20 MP | Pin 5000 mAh,  Sạc 120 W",13.790.000,https://cdn.tgdd.vn/Products/Images/42/309816/xiaomi-13t-pro-xanh-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi 13T 5G,"Chip MediaTek Dimensity 8200-Ultra | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 50 MP, 12 MP | Camera trước: 20 MP | Pin 5000 mAh,  Sạc 67 W",10.990.000,https://cdn.tgdd.vn/Products/Images/42/309814/xiaomi-13-t-xanh-duong-thumb-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi Note 13 Pro+ 5G,"Chip MediaTek Dimensity 7200 Ultra | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 200 MP & Phụ 8 MP, 2 MP | Camera trước: 16 MP | Pin 5000 mAh,  Sạc 120 W",9.990.000,https://cdn.tgdd.vn/Products/Images/42/312965/xiaomi-redmi-note-13-pro-plus-black-thumb-600x600.jpg
Điện thoại,Xiaomi,Xiaomi Redmi A2 series,"Chip MediaTek Helio G36 8 nhân | RAM: 3 GB | Dung lượng: 64 GB | Camera sau: Chính 8 MP & Phụ QVGA (248 x 328 Pixels) | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 10 W",1.840.000,https://cdn.tgdd.vn/Products/Images/42/302655/xiaomi-redmi-note-12-plus-xanh-duong-thumb-600x600.jpg
Điện thoại,Vivo,vivo Y100,"Chip Snapdragon 685 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 2 MP, Flicker | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 80 W",7.690.000,https://cdn.tgdd.vn/Products/Images/42/302197/vivo-y100-xanh-thumb-1-600x600.jpg
Điện thoại,Vivo,vivo Y36,"Chip Snapdragon 680 | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 16 MP | Pin 5000 mAh,  Sạc 44 W",5.040.000,https://cdn.tgdd.vn/Products/Images/42/311120/vivo-y36-xanh-thumbnew-600x600.jpg
Điện thoại,Vivo,vivo Y03,"Chip MediaTek Helio G85 | RAM: 4 GB | Dung lượng: 128 GB | Camera sau: Chính 13 MP & Phụ 0.08 MP | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 15 W",3.290.000,https://cdn.tgdd.vn/Products/Images/42/322996/vivo-y03-xanh-thumb-1-600x600.jpg
Điện thoại,Vivo,vivo Y17s,"Chip MediaTek Helio G85 | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 15 W",3.990.000,https://cdn.tgdd.vn/Products/Images/42/314975/vivo-y17s-thumb-600x600.jpg
Điện thoại,Vivo,vivo V30 5G,"Chip Snapdragon 7 Gen 3 8 nhân | RAM: 12 GB | Dung lượng: 512 GB | Camera sau: Chính 50 MP & Phụ 50 MP | Camera trước: 50 MP | Pin 5000 mAh,  Sạc 80 W",13.990.000,https://cdn.tgdd.vn/Products/Images/42/319214/vivo-v30-xanh-thumb-1-2-600x600.jpg
Điện thoại,Vivo,vivo V29e 5G 12GB,"Chip Snapdragon 695 5G | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 64 MP & Phụ 8 MP | Camera trước: 50 MP | Pin 4800 mAh,  Sạc 44 W",9.990.000,https://cdn.tgdd.vn/Products/Images/42/309864/vivo-v29e-thumb-600x600.jpg
Điện thoại,Vivo,vivo V30e 5G,"Chip Snapdragon 6 Gen 1 8 nhân | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 8 MP | Camera trước: 32 MP | Pin 5500 mAh,  Sạc 44 W",10.190.000,https://cdn.tgdd.vn/Products/Images/42/325136/vivo-v30e-nau-thumb-600x600.jpg
Điện thoại,Vivo,vivo Y18,"Chip MediaTek Helio G85 | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 0.08 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 15 W",4.290.000,https://cdn.tgdd.vn/Products/Images/42/325013/vivo-y18-xanh-trang-thumb-600x600.jpg
Điện thoại,Vivo,vivo Y02T,"Chip MediaTek Helio P35 | RAM: 4 GB | Dung lượng: 64 GB | Camera sau: 8 MP | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 10 W",2.790.000,https://cdn.tgdd.vn/Products/Images/42/309723/vivo-y02t-xanh-tim-thumb-600x600.jpg
Điện thoại,Realme,realme C65,"Chip MediaTek Helio G85 | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Cảm biến Flicker | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 45 W",4.790.000,https://cdn.tgdd.vn/Products/Images/42/323002/realme-c65-thumb-1-600x600.jpg
Điện thoại,Realme,realme Note 50,"Chip Unisoc Tiger T612 | RAM: 3 GB | Dung lượng: 64 GB | Camera sau: Chính 13 MP & Phụ 0.08 MP | Camera trước: 5 MP | Pin 5000 mAh,  Sạc 10 W",2.490.000,https://cdn.tgdd.vn/Products/Images/42/321434/realme-note-50-blue-thumb-600x600.jpg
Điện thoại,Realme,realme C55,"Chip MediaTek Helio G88 | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 64 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 33 W",3.990.000,https://cdn.tgdd.vn/Products/Images/42/301603/realme-c35-vang-thumb-600x600.jpg
Điện thoại,Realme,realme C67,"Chip Snapdragon 685 8 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 108 MP & Phụ 2 MP | Camera trước: 8 MP | Pin 5000 mAh,  Sạc 33 W",4.990.000,https://cdn.tgdd.vn/Products/Images/42/319658/realme-c67-xanh-thumb-600x600.jpg
Điện thoại,Realme,realme 11,"Chip MediaTek Helio G99 | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 108 MP & Phụ 2 MP | Camera trước: 16 MP | Pin 5000 mAh,  Sạc 67 W",7.490.000,https://cdn.tgdd.vn/Products/Images/42/304162/realme-11-vang-thumb-1-600x600.jpg
