category,sub_category,title,description,price,image_url
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS 45mm viền nhôm dây vải,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",10.790.000,https://cdn.tgdd.vn/Products/Images/7077/316001/apple-watch-s9-45mm-vien-nhom-day-vai-xanh-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch Series 9 GPS 45mm viền nhôm dây thể thao size S/M,"Màn hình: OLED, 1.9 inch | Theo dõi sức khỏe: Ước tính ngày rụng trứng, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",10.790.000,https://cdn.tgdd.vn/Products/Images/7077/316002/apple-watch-s9-45mm-vien-nhom-day-silicone-day-ngan-xanh-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch SE 2023 GPS + Cellular 44mm viền nhôm dây thể thao,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",8.190.000,https://cdn.tgdd.vn/Products/Images/7077/316009/apple-watch-se-lte-2023-44mm-vien-nhom-day-silicone-xanh-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch SE 2022 GPS + Cellular 44mm viền nhôm dây thể thao,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",7.990.000,https://cdn.tgdd.vn/Products/Images/7077/289801/apple-watch-se-2022-lte-44mm-den-xanh-tn-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch SE 2023 GPS + Cellular 40mm viền nhôm dây vải,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",7.490.000,https://cdn.tgdd.vn/Products/Images/7077/316004/apple-watch-se-lte-2023-40mm-vien-nhom-day-vai-trang-thumb-1-600x600.jpg
Đồng hồ thông minh,Apple,Apple Watch SE 2023 GPS 44mm viền nhôm dây thể thao size S/M,"Màn hình: OLED | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Tính quãng đường chạy | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",6.990.000,https://cdn.tgdd.vn/Products/Images/7077/316014/apple-watch-se-2023-44mm-vien-nhom-day-silicone-day-ngan-xanh-den-thumb-1-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Active 2 42mm dây silicone,"Màn hình: IPS, 1.46 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.190.000,https://cdn.tgdd.vn/Products/Images/7077/322836/befit-active-2-hong-tb-600x600.jpg
Đồng hồ thông minh,Befit,BeFit WatchFit 46.7mm dây silicone,"Màn hình: IPS, 1.57 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",710.000,https://cdn.tgdd.vn/Products/Images/7077/306530/befit-watch-fit-hong-tn-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Watch Ultra S 52.1mm dây silicone,"Màn hình: AMOLED, 1.95 inch | Theo dõi sức khỏe: Đo nồng độ oxy (SpO2), Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.190.000,https://cdn.tgdd.vn/Products/Images/7077/315598/befit-watch-ultra-s-day-silicone-tb-600x600.jpg
Đồng hồ thông minh,Befit,BeFit B3s 44mm dây silicone,"Màn hình: IPS, 1.69 inch | Theo dõi sức khỏe: Đo nồng độ oxy (SpO2), Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",790.000,https://cdn.tgdd.vn/Products/Images/7077/318519/befit-b3s-vang-thumb-1-600x600.jpg
Đồng hồ thông minh,Befit,BeFit WatchS 45mm dây silicone,"Màn hình: AMOLED, 1.78 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Tin nhắn, Messenger (Facebook), Line",1.190.000,https://cdn.tgdd.vn/Products/Images/7077/313840/befit-watch-s-day-silicone-hong-tn-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Sporty 2 Pro 44.8mm dây da,"Màn hình: AMOLED, 1.3 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",990.000,https://cdn.tgdd.vn/Products/Images/7077/296858/befit-sporty-2-pro-den-tn-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Hunter2 47.8mm dây silicone,"Màn hình: IPS, 1.46 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.490.000,https://cdn.tgdd.vn/Products/Images/7077/325619/befit-hunter2-day-silicone-den-tb-600x600.jpg
Đồng hồ thông minh,Befit,BeFit WatchS 45mm dây nam châm,"Màn hình: AMOLED, 1.78 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Tin nhắn, Messenger (Facebook), Line",1.430.000,https://cdn.tgdd.vn/Products/Images/7077/312907/befit-watch-s-day-nam-cham-trang-hong-thumb-10-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Watch Ultra 52.6mm dây silicone,"Màn hình: AMOLED, 1.95 inch | Theo dõi sức khỏe: Đo nồng độ oxy (SpO2), Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.190.000,https://cdn.tgdd.vn/Products/Images/7077/315596/befit-watch-ultra-day-silicone-tb-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Sporty 2 44.5mm dây da,"Màn hình: IPS, 1.32 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Viber, Tin nhắn, Messenger (Facebook)",790.000,https://cdn.tgdd.vn/Products/Images/7077/302216/befit-sporty-2-day-da-thumb-new-600x600.jpg
Đồng hồ thông minh,Befit,BeFit Hunter1 48mm dây silicone,"Màn hình: AMOLED, 1.43 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Theo dõi nhịp thở | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.190.000,https://cdn.tgdd.vn/Products/Images/7077/319566/dong-ho-thong-minh-befit-hunter1-48mm-den-tb-1-600x600.jpg
Đồng hồ thông minh,Befit,BeFit B4 44mm dây silicone,"Màn hình: TFT, 1.69 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo huyết áp | Thông báo ứng dụng: Tin nhắn, Messenger (Facebook), Line",490.000,https://cdn.tgdd.vn/Products/Images/7077/282959/dong-ho-befit-b4-thumbnn-600x600.jpg
Đồng hồ thông minh,Befit,BeFit B3 44mm dây silicone,"Màn hình: TFT, 1.69 inch | Theo dõi sức khỏe: Đo nồng độ oxy (SpO2), Đo nhịp tim, Đo huyết áp | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",300.000,https://cdn.tgdd.vn/Products/Images/7077/279257/dong-ho-befit-b3-vang-thumb-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Forerunner 165 43mm dây silicone,"Màn hình: AMOLED, 1.2 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Đo lượng tiêu thụ oxy tối đa (VO2 Max) | Thông báo ứng dụng: Zalo, WhatsApp, Tin nhắn",6.690.000,https://cdn.tgdd.vn/Products/Images/7077/322848/garmin-forerunner-165-den-tb-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Forerunner 165 Music 43mm dây silicone,"Màn hình: AMOLED, 1.2 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nhịp tim, Đo lượng tiêu thụ oxy tối đa (VO2 Max) | Thông báo ứng dụng: Zalo, WhatsApp, Tin nhắn",7.990.000,https://cdn.tgdd.vn/Products/Images/7077/322847/garmin-forerunner-165-music-tim-tb-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Lily 2 Classic 34mm dây da,"Màn hình: LCD, 1.00 x 0.84 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, WhatsApp, Nội dung tin nhắn",8.490.000,https://cdn.tgdd.vn/Products/Images/7077/322846/garmin-lily-2-classic-day-da-den-tim-tb-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Lily 2 Classic 34mm dây vải,"Màn hình: LCD, 1.00 x 0.84 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, WhatsApp, Nội dung tin nhắn",7.990.000,https://cdn.tgdd.vn/Products/Images/7077/322845/garmin-lily-2-classic-day-vai-nau-tb-600x600.jpg
