category,sub_category,title,description,price,image_url
Máy tính xách tay,Asus,Asus Vivobook X1404ZA i3 1215U (NK246W),"Màn hình: 14"", Full HD/Full HD+ | CPU: i3, 1215U, 1.2GHz | Card: Intel UHD | Pin: 3-cell, 42Wh | Khối lượng: 1.4 kg",9.990.000,https://cdn.tgdd.vn/Products/Images/44/317712/asus-vivobook-x1404za-i3-nk246w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 16 X1605VA i5 1335U (MB360W),"Màn hình: 16"", Full HD/Full HD+ | CPU: i5, 1335U, 1.3GHz | Card: Intel Iris Xe | Pin: 3-cell, 42Wh | Khối lượng: 1.88 kg",15.990.000,https://cdn.tgdd.vn/Products/Images/44/309375/asus-vivobook-16-x1605va-i5-mb360w-thumb-laptop-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming F15 FX506HF i5 11400H (HN014W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 11400H, 2.7GHz | Card: RTX 2050 4GB | Pin: 3-cell, 48Wh | Khối lượng: 2.3 kg",16.490.000,https://cdn.tgdd.vn/Products/Images/44/304867/asus-tuf-gaming-f15-fx506hf-i5-hn014w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 14 X1404VA i5 1335U (NK050W),"Màn hình: 14"", Full HD/Full HD+ | CPU: i5, 1335U, 1.3GHz | Card: Intel Iris Xe | Pin: 3-cell, 42Wh | Khối lượng: 1.4 kg",15.790.000,https://cdn.tgdd.vn/Products/Images/44/317704/asus-vivobook-14-x1404va-i5-nk050w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 12500H, 2.5GHz | Card: RTX 3050 4GB | Pin: 4-cell, 56Wh | Khối lượng: 2.2 kg",21.990.000,https://cdn.tgdd.vn/Products/Images/44/317709/asus-tuf-gaming-f15-fx507zc4-i5-hn229w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook X1404ZA i5 1235U (NK376W),"Màn hình: 14"", Full HD/Full HD+ | CPU: i5, 1235U, 1.3GHz | Card: Intel Iris Xe | Pin: 3-cell, 42Wh | Khối lượng: 1.4 kg",14.990.000,https://cdn.tgdd.vn/Products/Images/44/322270/asus-vivobook-x1404za-i5-nk376w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming A15 FA507NU R5 7535HS (LP105W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: Ryzen 5, 7535HS, 3.3GHz | Card: RTX 4050 6GB | Pin: 4-cell, 90Wh | Khối lượng: 2.2 kg",22.490.000,https://cdn.tgdd.vn/Products/Images/44/321059/asus-tuf-gaming-a15-fa507nu-r5-lp105w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 X1504VA i5 1335U (NJ025W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1335U, 1.3GHz | Card: Intel UHD | Pin: 3-cell, 42Wh | Khối lượng: 1.7 kg",14.290.000,https://cdn.tgdd.vn/Products/Images/44/305008/asus-vivobook-15-x1504va-i5-nj025w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming A15 FA506NC R5 7535HS (HN017W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: Ryzen 5, 7535HS, 3.3GHz | Card: RTX 3050 4GB | Pin: 3-cell, 48Wh | Khối lượng: 2.3 kg",19.490.000,https://cdn.tgdd.vn/Products/Images/44/322568/asus-tuf-gaming-a15-fa506nc-r5-hn017w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 X1504ZA i5 1235U (NJ1528W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1235U, 1.3GHz | Card: Intel Iris Xe | Pin: 3-cell, 42Wh | Khối lượng: 1.7 kg",15.690.000,https://cdn.tgdd.vn/Products/Images/44/322861/asus-vivobook-15-x1504za-i5-1nj1528w-thumb-1-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook S 14 Flip TP3402VA i5 13500H (LZ031W),"Màn hình: 14"", Full HD/Full HD+, Cảm ứng | CPU: i5, 13500H, 2.6GHz | Card: Intel Iris Xe | Pin: 3-cell, 50Wh | Khối lượng: 1.5 kg",18.990.000,https://cdn.tgdd.vn/Products/Images/44/304869/asus-vivobook-s-14-flip-tp3402va-i5-lz031w-thumb-1-600x600.jpg
